No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
64,この闇を照らす光のむこうに,Anly+スキマスイッチ=,この闇を照らす光のむこうに,その他,1:17:28,2025/05/12,7-Ijg1OqyJc,0.70
65,きゅうくらりん,いよわ feat. 可不,きゅうくらりん,その他,1:25:22,2025/05/12,7-Ijg1OqyJc,0.70
66,いかないで,想太 feat.歌愛ユキ,いかないで,その他,1:32:58,2025/05/12,7-Ijg1OqyJc,0.70
67,ダーリンダンス,かいりきベア feat.初音ミク,だーりんだんす,Vocaloid,1:39:19,2025/05/12,7-Ijg1OqyJc,0.70
68,独りんぼエンヴィー,koyori(電ポルP) feat.初音ミク,独りんぼえんゔぃー,Vocaloid,2:38:12,2025/05/12,7-Ijg1OqyJc,0.70
69,だから僕は音楽を辞めた,ヨルシカ,だから僕は音楽を辞めた,その他,2:51:43,2025/05/12,7-Ijg1OqyJc,0.70
70,ジェンガ Piano Ver.,40mP feat.初音ミク,じぇんが piano ver.,Vocaloid,15:09,2025/04/29,ae9oWPMF83o,0.50
71,ずうっといっしょ!,キタニタツヤ,ずうっといっしょ!,その他,23:19,2025/04/29,ae9oWPMF83o,0.50
72,愛言葉,DECO*27 feat.初音ミク,愛言葉,Vocaloid,31:22,2025/04/29,ae9oWPMF83o,0.50
73,ゾンビ,DECO*27 feat.初音ミク,ぞんび,Vocaloid,40:13,2025/04/29,ae9oWPMF83o,0.50
74,キュートなカノジョ,syudou feat.可不,きゅーとなかのじょ,その他,47:18,2025/04/29,ae9oWPMF83o,0.50
75,弱虫モンブラン,DECO*27 feat.GUMI,弱虫もんぶらん,Vocaloid,51:41,2025/04/29,ae9oWPMF83o,0.50
76,戻れ戻れもどれもどれも。,アメリカ民謡研究会 feat.花隈千冬,戻れ戻れもどれもどれも。,その他,1:00:04,2025/04/29,ae9oWPMF83o,0.50
77,雨とカプチーノ,ヨルシカ,雨とかぷちーの,その他,1:09:46,2025/04/29,ae9oWPMF83o,0.50
78,SPECIAL THANKS,GLAY,special thanks,Vocaloid,1:17:57,2025/04/29,ae9oWPMF83o,0.50
79,ビリビリクラッシュメン,GLAY,びりびりくらっしゅめん,その他,1:24:34,2025/04/29,ae9oWPMF83o,0.50
80,幸せについて本気出して考えてみた,ポルノグラフィティ,幸せについて本気出して考えてみた,その他,1:31:55,2025/04/29,ae9oWPMF83o,0.50
81,突然,FIELD OF VIEW,突然,その他,1:48:45,2025/04/29,ae9oWPMF83o,0.50
82,海の幽霊,米津玄師,海の幽霊,その他,1:55:55,2025/04/29,ae9oWPMF83o,0.50
83,夢と葉桜,青木月光 feat.初音ミク,夢と葉桜,Vocaloid,2:02:32,2025/04/29,ae9oWPMF83o,0.50
84,メアの教育,Diarays feat.初音ミク,めあの教育,Vocaloid,2:13:55,2025/04/29,ae9oWPMF83o,0.50
85,心拍数# 0822,蝶々P feat. 初音ミク,心拍数# 0822,Vocaloid,2:19:07,2025/04/29,ae9oWPMF83o,0.50
86,てんしょう しょうてんしょう,きくお feat.初音ミク,てんしょう しょうてんしょう,Vocaloid,2:26:13,2025/04/29,ae9oWPMF83o,0.50
87,食虫植物,理芽,食虫植物,その他,2:32:54,2025/04/29,ae9oWPMF83o,0.50
88,晩餐歌,tuki.,晩餐歌,その他,2:42:02,2025/04/29,ae9oWPMF83o,0.50
89,新宝島,サカナクション,新宝島,その他,2:45:21,2025/04/29,ae9oWPMF83o,0.50
90,シルエット,KANA-BOON,しるえっと,アニメ,2:52:22,2025/04/29,ae9oWPMF83o,0.50
91,リニアブルーを聴きながら,UNISON SQUARE GARDEN,りにあぶるーを聴きながら,アニメ,2:59:01,2025/04/29,ae9oWPMF83o,0.50
92,大嫌いなはずだった。,HoneyWorks meets さゆりんご軍団 + 真夏さんリスペクト軍団 from 乃木坂46,大嫌いなはずだった。,その他,3:08:27,2025/04/29,ae9oWPMF83o,0.50
93,さよならメモリーズ,supercell,さよならめもりーず,Vocaloid,3:20:51,2025/04/29,ae9oWPMF83o,0.50
94,ただ君に晴れ,ヨルシカ,ただ君に晴れ,その他,12:56,2025/03/11,Sj8QOldgX_g,0.50
95,I'm a mess,MY FIRST STORY,i'm a mess,その他,20:14,2025/03/11,Sj8QOldgX_g,0.50
96,LEVEL5 -judgelight-,fripSide,level5 -judgelight-,その他,30:16,2025/03/11,Sj8QOldgX_g,0.50
97,七転八起☆至上主義!,KOTOKO,七転八起☆至上主義!,その他,48:14,2025/03/11,Sj8QOldgX_g,0.50
98,ウルトラリズム(feat. Hylen),電音部,うるとらりずむ(feat. hylen),その他,57:44,2025/03/11,Sj8QOldgX_g,0.50
99,Trap of Love,"わか,ふうり,すなお from STAR☆ANIS",trap of love,その他,1:04:40,2025/03/11,Sj8QOldgX_g,0.50
100,はろー! Winter Love♪,"るか,もな,みき,みほ from AIKATSU☆STARS! & わか,りすこ from STAR☆ANIS",はろー! winter love♪,その他,1:14:17,2025/03/11,Sj8QOldgX_g,0.50
101,Fantastic future,田村ゆかり,fantastic future,その他,1:20:55,2025/03/11,Sj8QOldgX_g,0.50
102,EYE,group_inou,eye,その他,1:29:33,2025/03/11,Sj8QOldgX_g,0.50
103,THERAPY,group_inou,therapy,その他,1:34:29,2025/03/11,Sj8QOldgX_g,0.50
104,鳥の詩,Lia,鳥の詩,Vocaloid,1:47:25,2025/03/11,Sj8QOldgX_g,0.50
